Genotype,block,subblock,Plant,Heading.date,Flag.leaf.senescence.date,Peduncle.senescence.date
hom WT,NAC1,NAC1,500-4-24,11/03/2018,26/03/2018,23/04/2018
hom WT,NAC1,NAC1,500-4-46,12/03/2018,03/04/2018,27/04/2018
hom WT,NAC1,NAC1,500-4-57,12/03/2018,30/03/2018,24/04/2018
hom WT,NAC1,NAC1,500-4-64,10/03/2018,03/04/2018,22/04/2018
hom WT,NAC1,NAC1,500-4-77,07/03/2018,25/03/2018,19/04/2018
hom WT,NAC1,NAC1,500-4-91,09/03/2018,31/03/2018,24/04/2018
hom WT,NAC1,NAC1,500-6-35,16/03/2018,06/04/2018,30/04/2018
hom WT,NAC1,NAC1,500-6-50,08/03/2018,21/03/2018,19/04/2018
WT WT,NAC1,NAC1,500-1-2,07/03/2018,26/03/2018,21/04/2018
WT WT,NAC1,NAC1,500-2-2,12/03/2018,02/04/2018,25/04/2018
WT WT,NAC1,NAC1,500-2-9,14/03/2018,03/04/2018,25/04/2018
WT WT,NAC1,NAC1,500-3-8,11/03/2018,30/03/2018,24/04/2018
WT WT,NAC1,NAC1,500-4-3,14/03/2018,05/04/2018,19/04/2018
WT WT,NAC1,NAC1,500-4-11,13/03/2018,05/04/2018,23/04/2018
WT WT,NAC1,NAC1,500-4-18,08/03/2018,25/03/2018,19/04/2018
WT WT,NAC1,NAC1,500-4-35,09/03/2018,04/04/2018,24/04/2018
WT WT,NAC1,NAC1,500-4-59,08/03/2018,01/04/2018,23/04/2018
WT WT,NAC1,NAC1,500-4-68,14/03/2018,05/04/2018,19/04/2018
WT WT,NAC1,NAC1,500-6-44,09/03/2018,30/03/2018,23/04/2018
Kronos WT,NAC1,NAC1,KWT,10/03/2018,30/03/2018,23/04/2018
Kronos WT,NAC1,NAC1,KWT,09/03/2018,30/03/2018,27/04/2018
Kronos WT,NAC1,NAC1,KWT,09/03/2018,05/04/2018,30/04/2018
Kronos WT,NAC1,NAC1,KWT,09/03/2018,25/03/2018,20/04/2018
Kronos WT,NAC1,NAC1,KWT,12/03/2018,03/04/2018,02/05/2018
Kronos WT,NAC1,NAC1,KWT,10/03/2018,06/04/2018,27/04/2018
Kronos WT,NAC1,NAC1,KWT,11/03/2018,03/04/2018,27/04/2018
Kronos WT,NAC1,NAC1,KWT,09/03/2018,27/03/2018,18/04/2018
Kronos WT,NAC1,NAC1,KWT,11/03/2018,02/04/2018,03/05/2018
Kronos WT,NAC1,NAC1,KWT,09/03/2018,30/03/2018,27/04/2018
